0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:05:47 +0900] "GET /HTML/ch02/Penguins.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:06:24 +0900] "GET /HTML/ch03/01.html HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:06:24 +0900] "GET /HTML/ch02/Penguins.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:07:11 +0900] "GET /HTML/ch03/01.html HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:07:11 +0900] "GET /HTML/ch02/Penguins.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:08:45 +0900] "GET /HTML/ch02/03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:09:26 +0900] "GET /HTML/ch02/03.html HTTP/1.1" 200 6594
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:09:26 +0900] "GET /HTML/ch02/Penguins.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:09:38 +0900] "GET /HTML/ch03/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:09:38 +0900] "GET /HTML/ch02/Penguins.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:11:12 +0900] "GET /HTML/ch03/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:11:12 +0900] "GET /HTML/ch02/Penguins.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:11:18 +0900] "GET /HTML/ch03/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:11:18 +0900] "GET /HTML/ch02/Penguins.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:11:19 +0900] "GET /HTML/ch03/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:11:19 +0900] "GET /HTML/ch02/Penguins.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:11:20 +0900] "GET /HTML/ch03/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:11:20 +0900] "GET /HTML/ch02/Penguins.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:11:20 +0900] "GET /HTML/ch03/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:11:20 +0900] "GET /HTML/ch02/Penguins.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:11:20 +0900] "GET /HTML/ch03/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:11:20 +0900] "GET /HTML/ch02/Penguins.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:11:21 +0900] "GET /HTML/ch03/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:11:21 +0900] "GET /HTML/ch02/Penguins.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:11:21 +0900] "GET /HTML/ch03/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:11:21 +0900] "GET /HTML/ch02/Penguins.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:11:21 +0900] "GET /HTML/ch03/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:11:21 +0900] "GET /HTML/ch02/Penguins.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:11:21 +0900] "GET /HTML/ch03/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:11:21 +0900] "GET /HTML/ch02/Penguins.jpg HTTP/1.1" 304 -
